Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2024-07-31 00:00:00;Cherokee County;52.0;42.0;396.0;438.0;26973.0;2195.0;1.0;-3.0;7.0;4.0;30.0;-18.0;2024;07
2024-07-31 00:00:00;Jackson County;153.0;92.0;730.0;822.0;31087.0;2685.0;10.0;4.0;17.0;21.0;35.0;-23.0;2024;07
2024-09-30 00:00:00;Columbus County;36.0;26.0;414.0;440.0;42788.0;3197.0;-1.0;0.0;8.0;8.0;-171.0;25.0;2024;09
2024-09-30 00:00:00;Dare County;270.0;115.0;894.0;1009.0;36850.0;3010.0;16.0;1.0;-1.0;0.0;23.0;15.0;2024;09
2024-10-31 00:00:00;Dare County;228.0;106.0;1036.0;1142.0;38150.0;2719.0;10.0;0.0;12.0;12.0;78.0;-27.0;2024;10
2024-10-31 00:00:00;Yancey County;60.0;44.0;422.0;466.0;18172.0;1594.0;3.0;0.0;-7.0;-7.0;-367.0;-29.0;2024;10
2024-11-30 00:00:00;Moore County;752.0;339.0;3580.0;3919.0;90565.0;5806.0;21.0;7.0;78.0;85.0;216.0;537.0;2024;11
2024-11-30 00:00:00;Hyde County;4.0;2.0;52.0;54.0;4099.0;605.0;0.0;0.0;-1.0;-1.0;6.0;54.0;2024;11
2024-11-30 00:00:00;Durham County;4323.0;1445.0;12680.0;14125.0;195826.0;6141.0;128.0;37.0;277.0;314.0;580.0;162.0;2024;11
2024-11-30 00:00:00;Cleveland County;173.0;78.0;1230.0;1308.0;83320.0;5344.0;2.0;1.0;29.0;30.0;110.0;353.0;2024;11
2024-12-31 00:00:00;Nash County;195.0;60.0;1458.0;1518.0;82360.0;5207.0;1.0;-5.0;31.0;26.0;-328.0;-701.0;2024;12
2024-12-31 00:00:00;Cherokee County;47.0;41.0;470.0;511.0;27086.0;2003.0;3.0;0.0;1.0;1.0;-115.0;-24.0;2024;12
2024-01-31 00:00:00;Cabarrus County;1877.0;377.0;3987.0;4364.0;166407.0;10002.0;109.0;2.0;70.0;72.0;530.0;26.0;2024;01
2024-01-31 00:00:00;Robeson County;91.0;37.0;891.0;928.0;91591.0;5301.0;2.0;1.0;35.0;36.0;160.0;15.0;2024;01
2024-02-28 00:00:00;Tyrrell County;1.0;1.0;39.0;40.0;2808.0;346.0;0.0;0.0;0.0;0.0;10.0;1.0;2024;02
2024-03-31 00:00:00;Columbus County;34.0;28.0;378.0;406.0;43248.0;3195.0;2.0;2.0;3.0;5.0;218.0;1.0;2024;03
2024-04-30 00:00:00;Anson County;17.0;6.0;154.0;160.0;18378.0;1658.0;2.0;-1.0;6.0;5.0;-17.0;6.0;2024;04
2024-04-30 00:00:00;Mitchell County;38.0;20.0;208.0;228.0;14996.0;1274.0;1.0;-1.0;0.0;-1.0;28.0;7.0;2024;04
2024-06-30 00:00:00;Hertford County;20.0;10.0;150.0;160.0;16659.0;1390.0;2.0;0.0;7.0;7.0;-45.0;12.0;2024;06
2024-06-30 00:00:00;Nash County;181.0;69.0;1147.0;1216.0;80153.0;6289.0;5.0;-1.0;-3.0;-4.0;-53.0;27.0;2024;06
2024-08-31 00:00:00;Warren County;38.0;21.0;271.0;292.0;16697.0;1099.0;2.0;-1.0;10.0;9.0;-9.0;-1.0;2024;08
2024-09-30 00:00:00;Halifax County;75.0;22.0;500.0;522.0;41681.0;2327.0;1.0;0.0;13.0;13.0;-51.0;-11.0;2024;09
2024-09-30 00:00:00;Warren County;40.0;20.0;267.0;287.0;16691.0;1094.0;2.0;-1.0;-4.0;-5.0;-6.0;-5.0;2024;09
2024-11-30 00:00:00;Transylvania County;214.0;94.0;1016.0;1110.0;27189.0;2287.0;3.0;0.0;21.0;21.0;90.0;64.0;2024;11
2024-12-31 00:00:00;Wilson County;155.0;61.0;1217.0;1278.0;63906.0;3932.0;-1.0;2.0;16.0;18.0;-317.0;-91.0;2024;12
2024-12-31 00:00:00;Hoke County;202.0;82.0;1033.0;1115.0;41342.0;2109.0;17.0;0.0;6.0;6.0;-142.0;-68.0;2024;12
2024-12-31 00:00:00;Gaston County;971.0;328.0;3867.0;4195.0;166299.0;8269.0;14.0;4.0;125.0;129.0;370.0;-319.0;2024;12
2023-02-28 00:00:00;Madison County;51.0;25.0;419.0;444.0;20824.0;2067.0;-4.0;0.0;11.0;11.0;23.0;11.0;2023;02
2023-03-31 00:00:00;Caswell County;15.0;14.0;218.0;232.0;21083.0;1460.0;2.0;1.0;3.0;4.0;142.0;23.0;2023;03
